subtype,celltype_major,Cell_Count,Fraction
ER+,B-cells,606,0.01584686592923825
ER+,CAFs,2573,0.06728380533981852
ER+,Cancer Epithelial,11878,0.3106090321905808
ER+,Endothelial,5206,0.1361366073062943
ER+,Myeloid,1831,0.047880547056823826
ER+,Normal Epithelial,2430,0.06354436337961873
ER+,PVL,3265,0.08537956643393217
ER+,Plasmablasts,631,0.016500614523678774
ER+,T-cells,9821,0.25681859784001465
HER2+,B-cells,624,0.032313189373931954
HER2+,CAFs,1449,0.07503495417119777
HER2+,Cancer Epithelial,1775,0.091916524260784
HER2+,Endothelial,1016,0.052612500647299464
HER2+,Myeloid,1422,0.07363678732328724
HER2+,Normal Epithelial,968,0.05012687069545855
HER2+,PVL,894,0.04629485785303713
HER2+,Plasmablasts,226,0.01170317435658433
HER2+,T-cells,10937,0.5663611413184195
TNBC,B-cells,1976,0.04648099360180655
TNBC,CAFs,2551,0.06000658637561159
TNBC,Cancer Epithelial,10836,0.2548927361686112
TNBC,Endothelial,1383,0.032531990967256307
TNBC,Myeloid,6422,0.15106322920587129
TNBC,Normal Epithelial,957,0.02251129092961987
TNBC,PVL,1264,0.029732781332329695
TNBC,Plasmablasts,2667,0.062735227700414
TNBC,T-cells,14456,0.3400451637184795
